
세계기후평년값
[검색조건]
검색구분 : 월별평년값
, 지점명 : 전체
, 기간 : 1980년대 00월
국가,지점명,지점번호,시작년도,종료년도,월,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),일조시간(hr)
일본,가고시마,47827,1981,2010,1,       8.5,      12.8,       4.6,      78.0,     133.0
일본,가고시마,47827,1981,2010,2,       9.8,      14.3,       5.7,     112.0,     135.0
일본,가고시마,47827,1981,2010,3,      12.5,      17.0,       8.4,     180.0,     149.0
일본,가고시마,47827,1981,2010,4,      16.9,      21.6,      12.7,     205.0,     168.0
일본,가고시마,47827,1981,2010,5,      20.8,      25.2,      17.1,     221.0,     174.0
일본,가고시마,47827,1981,2010,6,      24.0,      27.6,      21.0,     452.0,     122.0
일본,가고시마,47827,1981,2010,7,      28.1,      31.9,      25.3,     319.0,     191.0
일본,가고시마,47827,1981,2010,8,      28.5,      32.5,      25.6,     223.0,     206.0
일본,가고시마,47827,1981,2010,9,      26.1,      30.1,      22.8,     211.0,     177.0
일본,가고시마,47827,1981,2010,10,      21.2,      25.4,      17.5,     102.0,     187.0
일본,가고시마,47827,1981,2010,11,      15.9,      20.3,      11.9,      92.0,     155.0
일본,가고시마,47827,1981,2010,12,      10.6,      15.3,       6.7,      71.0,     150.0
일본,가나자와,47605,1981,2010,1,       3.8,       6.8,       0.9,     270.0,      64.0
일본,가나자와,47605,1981,2010,2,       3.9,       7.3,       0.7,     172.0,      84.0
일본,가나자와,47605,1981,2010,3,       6.9,      11.0,       3.0,     159.0,     141.0
일본,가나자와,47605,1981,2010,4,      12.5,      16.9,       8.2,     137.0,     186.0
일본,가나자와,47605,1981,2010,5,      17.1,      21.6,      13.1,     155.0,     202.0
일본,가나자와,47605,1981,2010,6,      21.2,      25.0,      18.0,     185.0,     153.0
일본,가나자와,47605,1981,2010,7,      25.3,      28.8,      22.3,     232.0,     159.0
일본,가나자와,47605,1981,2010,8,      27.0,      30.9,      23.7,     139.0,     222.0
일본,가나자와,47605,1981,2010,9,      22.7,      26.6,      19.5,     226.0,     144.0
일본,가나자와,47605,1981,2010,10,      17.1,      21.3,      13.3,     177.0,     150.0
일본,가나자와,47605,1981,2010,11,      11.5,      15.5,       7.7,     265.0,     104.0
일본,가나자와,47605,1981,2010,12,       6.7,      10.2,       3.4,     282.0,      73.0
대한민국,강릉,47105,1981,2010,1,       0.4,       5.0,,      55.0,     184.0
대한민국,강릉,47105,1981,2010,2,       2.2,       6.7,,      50.0,     173.0
대한민국,강릉,47105,1981,2010,3,       6.3,      10.9,       2.0,      69.0,     187.0
대한민국,강릉,47105,1981,2010,4,      12.9,      17.9,       7.9,      69.0,     204.0
대한민국,강릉,47105,1981,2010,5,      17.6,      22.4,      12.9,      87.0,     209.0
대한민국,강릉,47105,1981,2010,6,      20.8,      24.9,      17.0,     121.0,     165.0
대한민국,강릉,47105,1981,2010,7,      24.2,      27.8,      21.1,     243.0,     138.0
대한민국,강릉,47105,1981,2010,8,      24.6,      28.3,      21.5,     299.0,     148.0
대한민국,강릉,47105,1981,2010,9,      20.3,      24.5,      16.6,     244.0,     157.0
대한민국,강릉,47105,1981,2010,10,      15.5,      20.3,      11.2,     110.0,     188.0
대한민국,강릉,47105,1981,2010,11,       9.2,      13.7,       5.3,      80.0,     171.0
대한민국,강릉,47105,1981,2010,12,       3.4,       7.9,      -0.3,      38.0,     183.0
인도네시아,고론탈로 잘랄루딘,97048,1981,2010,10,      27.7,      33.4,      22.3,     100.0,     218.0
인도네시아,고론탈로 잘랄루딘,97048,1981,2010,11,      27.0,      32.5,      23.3,     140.0,     185.0
인도네시아,고론탈로 잘랄루딘,97048,1981,2010,12,      26.8,      31.8,      23.2,     143.0,     175.0
인도네시아,고론탈로 잘랄루딘,97048,1982,2011,1,      26.6,      31.1,      23.0,     133.0,     171.0
인도네시아,고론탈로 잘랄루딘,97048,1982,2011,2,      26.7,      31.9,      23.1,      96.0,     171.0
인도네시아,고론탈로 잘랄루딘,97048,1982,2011,3,      26.8,      32.0,       3.2,     128.0,     185.0
인도네시아,고론탈로 잘랄루딘,97048,1982,2011,4,      27.1,      32.4,      23.6,     134.0,     162.0
인도네시아,고론탈로 잘랄루딘,97048,1982,2011,7,      26.3,      31.4,      22.4,     109.0,     198.0
인도네시아,고론탈로 잘랄루딘,97048,1983,2012,7,      26.3,      31.4,      22.3,     110.0,     174.0
인도네시아,고론탈로 잘랄루딘,97048,1983,2012,12,      26.8,      31.8,      23.1,     142.0,     174.0
인도네시아,고론탈로 잘랄루딘,97048,1984,2013,2,      26.6,      31.4,      23.7,     109.0,     169.0
멕시코,과나후아토,76577,1981,2010,1,      14.4,      22.3,       7.0,      19.0,     225.0
멕시코,과나후아토,76577,1981,2010,2,      16.0,      24.6,       8.1,      14.0,     238.0
멕시코,과나후아토,76577,1981,2010,3,      18.0,      27.1,       9.7,      14.0,     286.0
멕시코,과나후아토,76577,1981,2010,4,      20.8,      29.9,      12.2,      14.0,     266.0
멕시코,과나후아토,76577,1981,2010,5,      21.9,      31.0,      14.1,      43.0,     266.0
멕시코,과나후아토,76577,1981,2010,6,      21.1,      29.5,      14.9,     129.0,     211.0
멕시코,과나후아토,76577,1981,2010,7,      19.7,      27.3,      14.2,     187.0,     208.0
멕시코,과나후아토,76577,1981,2010,8,      19.7,      27.5,      14.3,     143.0,     206.0
멕시코,과나후아토,76577,1981,2010,9,      19.2,      26.6,      13.8,     118.0,     193.0
멕시코,과나후아토,76577,1981,2010,10,      18.1,      25.8,      11.9,     346.0,     240.0
멕시코,과나후아토,76577,1981,2010,11,      16.2,      24.7,       9.1,     118.0,     242.0
멕시코,과나후아토,76577,1981,2010,12,      14.6,      22.8,       7.4,      64.0,     230.0
멕시코,과나후아토,76577,1982,2011,2,      16.0,      24.7,       8.1,      14.0,     245.0
멕시코,과나후아토,76577,1982,2011,3,      18.1,      28.1,       9.7,      10.0,     285.0
멕시코,과나후아토,76577,1982,2011,4,      20.9,      30.1,      12.3,      12.0,     272.0
멕시코,과나후아토,76577,1982,2011,5,      21.9,      31.1,      14.2,      43.0,     273.0
멕시코,과나후아토,76577,1982,2011,6,      21.1,      29.5,      14.9,     131.0,     212.0
멕시코,과나후아토,76577,1982,2011,7,      19.7,      27.4,      14.3,     186.0,     203.0
멕시코,과나후아토,76577,1982,2011,8,      19.8,      27.6,      14.3,     144.0,     213.0
