
세계기후평년값
[검색조건]
검색구분 : 월별평년값
, 지점명 : 전체
, 기간 : 1990년대 00월
국가,지점명,지점번호,시작년도,종료년도,월,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),일조시간(hr)
인도네시아,까리앙엣,96973,1995,2009,2,      27.6,      30.6,      24.2,,     236.0
인도네시아,까리앙엣,96973,1995,2009,3,      27.6,      32.0,      24.3,,     184.0
인도네시아,까리앙엣,96973,1995,2009,5,      28.1,      30.9,      24.3,,     236.0
인도네시아,까리앙엣,96973,1995,2009,7,      28.9,      30.6,      24.3,,     268.0
인도네시아,까리앙엣,96973,1995,2009,8,      29.1,      30.9,      24.6,,     283.0
인도네시아,까리앙엣,96973,1995,2009,9,      28.1,      31.3,      24.6,,
인도네시아,까리앙엣,96973,1995,2009,11,      28.3,      32.1,      24.8,,     285.0
인도네시아,까리앙엣,96973,1995,2009,12,      28.9,      31.6,      24.7,,     283.0
인도네시아,까리앙엣,96973,1995,2010,1,      28.4,      30.9,      24.4,,     286.0
인도네시아,까리앙엣,96973,1995,2010,2,      28.1,      31.1,      24.2,,     280.0
인도네시아,까리앙엣,96973,1995,2010,3,      28.4,      30.8,      23.7,,     279.0
인도네시아,까리앙엣,96973,1995,2010,4,      28.1,      30.6,      24.0,,     276.0
인도네시아,까리앙엣,96973,1995,2010,6,      27.2,      31.2,      24.9,      57.0,     242.0
인도네시아,까리앙엣,96973,1995,2010,7,      28.4,      30.1,      24.7,,     257.0
인도네시아,까리앙엣,96973,1995,2010,8,      28.2,      30.4,      24.7,,     253.0
인도네시아,나비레,97682,2000,2000,1,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,2,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,3,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,4,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,5,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,6,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,7,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,8,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,9,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,10,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,11,       0.0,       0.0,       0.0,       0.0,       0.0
인도네시아,나비레,97682,2000,2000,12,       0.0,       0.0,       0.0,       0.0,       0.0
호주,누리우파 비티컬터랄,94681,1997,2010,1,      22.2,      30.0,      14.5,      18.0,     336.0
호주,누리우파 비티컬터랄,94681,1997,2010,2,      22.0,      29.7,      14.6,      20.0,     284.0
호주,누리우파 비티컬터랄,94681,1997,2010,3,      19.1,      26.0,      11.6,      26.0,     275.0
호주,누리우파 비티컬터랄,94681,1997,2010,4,      15.5,      21.8,       9.0,      36.0,     227.0
호주,누리우파 비티컬터랄,94681,1997,2010,5,      12.1,      17.4,       6.8,      47.0,     175.0
호주,누리우파 비티컬터랄,94681,1997,2010,6,       9.8,      14.0,       5.1,      56.0,     150.0
호주,누리우파 비티컬터랄,94681,1997,2010,7,       8.9,      13.4,       4.4,      54.0,     163.0
호주,누리우파 비티컬터랄,94681,1997,2010,8,       9.6,      14.7,       4.8,      59.0,     202.0
호주,누리우파 비티컬터랄,94681,1997,2010,9,      12.3,      17.7,       6.9,      55.0,     219.0
호주,누리우파 비티컬터랄,94681,1997,2010,10,      14.3,      20.7,       8.0,      40.0,     262.0
호주,누리우파 비티컬터랄,94681,1997,2010,11,      18.2,      25.2,      11.2,      36.0,     287.0
호주,누리우파 비티컬터랄,94681,1997,2010,12,      19.6,      27.0,      12.4,      40.0,     302.0
호주,뉴먼,94317,1997,2010,1,      32.1,      39.5,      25.0,      76.0,
호주,뉴먼,94317,1997,2010,2,      30.3,      37.0,      24.0,     128.0,
호주,뉴먼,94317,1997,2010,3,      28.0,      35.0,      21.5,      53.0,
호주,뉴먼,94317,1997,2010,4,      24.6,      31.7,      17.3,      24.0,
호주,뉴먼,94317,1997,2010,5,      19.2,      27.3,      11.6,       9.0,
호주,뉴먼,94317,1997,2010,6,      14.9,      23.1,       6.8,      10.0,
호주,뉴먼,94317,1997,2010,7,      14.7,      23.0,       6.0,      16.0,
호주,뉴먼,94317,1997,2010,8,      16.5,      25.7,       7.5,       4.0,
호주,뉴먼,94317,1997,2010,9,      21.0,      30.2,      11.8,       7.0,
호주,뉴먼,94317,1997,2010,10,      26.1,      34.9,      17.3,       5.0,
호주,뉴먼,94317,1997,2010,11,      28.9,      37.4,      20.7,      14.0,
호주,뉴먼,94317,1997,2010,12,      31.2,      39.1,      23.6,      68.0,
오만,니즈와,41255,2000,2000,1,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,2,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,3,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,4,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,5,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,6,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,8,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,10,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,11,       0.0,       0.0,       0.0,       0.0,       0.0
오만,니즈와,41255,2000,2000,12,       0.0,       0.0,       0.0,       0.0,       0.0
호주,달고민다,95492,2000,2010,1,      31.7,      38.2,      25.4,      39.0,
호주,달고민다,95492,2000,2010,2,      30.4,      36.2,      24.6,      46.0,
호주,달고민다,95492,2000,2010,3,      27.8,      33.8,      21.5,      39.0,
호주,달고민다,95492,2000,2010,4,      22.9,      29.6,      16.9,      20.0,
호주,달고민다,95492,2000,2010,5,      17.4,      23.8,      11.0,      17.0,
호주,달고민다,95492,2000,2010,6,      13.8,      19.9,       7.7,      18.0,
호주,달고민다,95492,2000,2010,7,      13.3,      19.9,       6.6,      12.0,
호주,달고민다,95492,2000,2010,8,      15.5,      22.7,       8.3,      10.0,
호주,달고민다,95492,2000,2010,9,      20.4,      27.6,      13.0,       9.0,
호주,달고민다,95492,2000,2010,10,      22.6,      31.0,      16.5,      12.0,
호주,달고민다,95492,2000,2010,11,      26.8,      33.8,      20.7,      42.0,
호주,달고민다,95492,2000,2010,12,      29.7,      36.8,      23.3,      17.0,
호주,더보,95719,1995,2010,1,      25.4,      33.1,      18.1,      50.0,
호주,더보,95719,1995,2010,2,      24.9,      31.9,      17.7,      38.0,
호주,더보,95719,1995,2010,3,      21.8,      29.0,      14.5,      48.0,
호주,더보,95719,1995,2010,4,      17.9,      24.7,      10.2,      39.0,
호주,더보,95719,1995,2010,5,      13.3,      20.0,       6.8,      37.0,
호주,더보,95719,1995,2010,6,      10.4,      16.3,       4.5,      56.0,
호주,더보,95719,1995,2010,7,       9.2,      15.2,       3.1,      45.0,
호주,더보,95719,1995,2010,8,      10.4,      17.4,       3.4,      47.0,
호주,더보,95719,1995,2010,9,      13.7,      21.1,       6.4,      34.0,
호주,더보,95719,1995,2010,10,      17.0,      24.7,       9.4,      50.0,
호주,더보,95719,1995,2010,11,      21.3,      28.3,      13.6,      70.0,
호주,더보,95719,1995,2010,12,      23.3,      31.1,      15.8,      67.0,
호주,데닐리퀸 에어포트 AWS,95869,1998,2010,1,      24.7,      33.2,      16.5,      19.0,
호주,데닐리퀸 에어포트 AWS,95869,1998,2010,2,      24.2,      32.0,      16.3,      36.0,
